Keyword,Attribute,Actual Attribute,Pros,Cons
performance,2GHz Quad Core,2GHz Quad Core,,
features,battery,battery,,
connectivity,multitude,multitude,No issues in browsing and internet connectivity,Browsing and connectivity problems
connectivity,easy,Fast,Internet speed is good,Browsing is slow
Android,Smooth,Smooth,Smooth,Smooth
storage,8GB,,,
applications,ChatON,,Apps run smoothly,Apps don't run smoothly and hangs
applications,Hangouts,,Apps run smoothly,Apps don't run smoothly and hangs
warranty,1 year,1 year,1 year,1 year
Camera,better,better,Camera and picture quality is good,Camera and picture quality is poor
Flash,LED,Quality,Flash performance is good,Poor flash quality
back ,Heat,Heat,Back never gets heated,Heating of back panel
Screen,HD,,Good screen resolution and display,Screen resolution and display is poor
lag,Time,Time,No lagging problem,Phone lags
memory ,Internal,Internal,Nice internal memory,Low internal memory space
windows,Smooth,,,
lag,no,no,No lagging problem,Phone lags
lag,not,no,No lagging problem,Phone lags
lag,not,no,No lagging problem,Phone lags
memory ,inbuid memory,Internal,Nice internal memory,Low internal memory space
budget,limited,Low,It's worth the price,It's not worth the price
fast,very,very,,
cheap,very,very,It's worth the price,It's not worth the price
budget,perfect,Price,It's worth the price,It's not worth the price
browsing,Internet,internet,No issues in browsing and internet connectivity,Browsing and connectivity problems
games,Club Samsung,Club Samsung,,
clarity,NO,NO,Camera and picture quality is good,Camera and picture quality is poor
Camera,Autofocus,Auto focus,Good Auto focus,Auto focus is poor
Ram,5GB RAM,,,
cheap,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
cheap,got,got,It's worth the price,It's not worth the price
fast,Heat,Heating,,Heating
snapdeal,Quality,,Perfect product delivered,Defective product delivered
lag,no,no,No lagging problem,Phone lags
online,Discount,,,
budget,unbeatable,Price,It's worth the price,It's not worth the price
picture,8MP Camera,8MP Camera,Camera and picture quality is good,Camera and picture quality is poor
quad core,2GHz,,,
fast,super,super,,
Ram,5GB,,,
Camera,9MP,9MP,,
video,1080p,1080p,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
lag,havent,no,No lagging problem,Phone lags
storage,8GB Internal Storage,,,
lag,some,little,No lagging problem,Phone lags
budget,price,Price,It's worth the price,It's not worth the price
build,good,Quality,Good body built quality,Body built not good
built ,poor,poor,Good body built quality,Body built not good
snapdeal,Late,,Quick Delivery,Delayed Delivery
Camera,8MP,8MP,,battery drains
Delivery,worst,Delayed ,Quick Delivery,Delayed Delivery
lag,without,no,No lagging problem,Phone lags
cheap,very,very,It's worth the price,It's not worth the price
performance,fast,Smooth,Nice performance,
lag,never,no,No lagging problem,Phone lags
lag,without,no,No lagging problem,Phone lags
fast,pretty,pretty,,
music,Soundalive,Soundalive,Soundalive,Soundalive
clarity,awesome,awesome,Camera and picture quality is good,Camera and picture quality is poor
budget,best,Price,It's worth the price,It's not worth the price
connectivity,power,power,No issues in browsing and internet connectivity,Browsing and connectivity problems
memory ,64GB sd memory,64GB,64GB,64GB
Camera,5MP,5MP,,
Design,perfect,perfect,Awesome looks and design,Design and looks not good
memory ,64GB,64GB,64GB,64GB
lag,slight,little,No lagging problem,Phone lags
budget,good,Price,It's worth the price,It's not worth the price
features,budget phone,budget phone,,
storage,internal storage,internal,good internal memory,low internal memory
durable,sleek,Durable,Sleek and slim,Heavy and big
budget,excellent,Price,It's worth the price,It's not worth the price
memory ,8GB,8 GB,8 GB,8 GB
storage,low internal memory,internal,good internal memory,low internal memory
fast,quite,quite,,
charging,discharged,lasts,Good battery Life,Poor battery life
heavy,weight,Weight,,Weight
durable,battery,Durable,,
sound,clear,Clarity,Good sound quality,Poor sound quality
body,cheap ,cheap ,Good body built quality,Body built not good
body,plastic,Plastic,Plastic body but looks good,Plastic body looks poor
cheap,extremely,extremely,It's worth the price,It's not worth the price
fast,hang,hanging,,hanging
Ram,714MB,,,
sound,clear,Clarity,Good sound quality,Poor sound quality
durable,sturdy,Durable,Good body built quality,Body built not good
durable,good,Durable,Good body built quality,Body built not good
budget,nominal,nominal,It's worth the price,It's not worth the price
budget,economic,Price,It's worth the price,It's not worth the price
lag,no,no,No lagging problem,Phone lags
lag,slight,little,No lagging problem,Phone lags
budget,best,Price,It's worth the price,It's not worth the price
fast,very,very,,
service,data,,,
budget,within,Price,It's worth the price,It's not worth the price
sound,clear,Clarity,Good sound quality,Poor sound quality
durable,good,Durable,Good body built quality,Body built not good
snapdeal,Service,Service,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
durable,good,Durable,Good body built quality,Body built not good
Flash,LED,Quality,Flash performance is good,Poor flash quality
budget,great,Price,It's worth the price,It's not worth the price
games,battery life,battery,Battery life good even while gaming,Battery drains heavily while gaming
durable,easy,Durable,Good body built quality,Body built not good
budget,best,Price,It's worth the price,It's not worth the price
connectivity,call,call,Internet calling is ok,Problems in web calling
budget,attractive,Price,It's worth the price,It's not worth the price
online,Snapdeal,,,
budget,great,Price,It's worth the price,It's not worth the price
fast,very,very,,
Display,decent,decent,Suberb display clarity,Display quality not good
fast,decently,decently,,
Bluetooth,RDS,RDS,Fast bluetooth sharing,Bluetooth range and sharing is slow
budget,within,Price,It's worth the price,It's not worth the price
budget,low,Low,It's worth the price,It's not worth the price
video,720p,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
Display,TFT,TFT,Suberb display clarity,Display quality not good
lag,wont,no,No lagging problem,Phone lags
video,1080p,1080p,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
lag,doesnt,no,No lagging problem,Phone lags
fast,super,super,,
Android,features,features,features,features
budget,low,Low,It's worth the price,It's not worth the price
online,Snapdeal,,,
online,Snapdeal,,,
features,clear,clear,,
cheap,quite,quite,It's worth the price,It's not worth the price
budget,over,over,It's worth the price,It's not worth the price
lag,without,no,No lagging problem,Phone lags
Camera,Good,Good,Camera and picture quality is good,Camera and picture quality is poor
fast,very,very,,
body,Bright,Bright,Good body built quality,Body built not good
internal,2GB,2GB,2GB,2GB
sound,clear,Clarity,Good sound quality,Poor sound quality
budget,good,Price,It's worth the price,It's not worth the price
lag,never,no,No lagging problem,Phone lags
budget,Good,Price,It's worth the price,It's not worth the price
snapdeal,delivery,Delivery,Quick Delivery,Delayed Delivery
budget,low,Low,It's worth the price,It's not worth the price
browsing,speed,Fast,Internet speed is good,Browsing is slow
budget,Good,Price,It's worth the price,It's not worth the price
viewing,Pros,good,Good display viewing angles,Display Viewing angles is poor
fast,charging,charging,charging,charging
lag,doesnt,no,No lagging problem,Phone lags
body,Delicate,Delicate,Good body built quality,Body built not good
fast,swell,swell,,
lag,may,little,No lagging problem,Phone lags
snapdeal,delivery,Delivery,Quick Delivery,Delayed Delivery
delivered,problem,Delayed ,Quick Delivery,Delayed Delivery
Camera,good,good,Camera and picture quality is good,Camera and picture quality is poor
fast,very,very,,
lag,no,no,No lagging problem,Phone lags
budget,within,Price,It's worth the price,It's not worth the price
budget,good,Price,It's worth the price,It's not worth the price
games,Ram,Ram,Ram and internal memory sufficient for gaming,Ram and memory inadequate for heavy games
lag,doesnt,no,No lagging problem,Phone lags
build,satisfied,satisfied,Good body built quality,Body built not good
budget,Good,Price,It's worth the price,It's not worth the price
budget,excellent,Price,It's worth the price,It's not worth the price
games,hang,Hang,No hanging while gaming,Hangs while playing games
heavy,hang,hangs,,hangs
lag,without,no,No lagging problem,Phone lags
charging,heat,heat,No heating issues,Battery gets overheated
cheap,price,Price,It's worth the price,It's not worth the price
cheap,very,very,It's worth the price,It's not worth the price
budget,best,Price,It's worth the price,It's not worth the price
lag,much,little,No lagging problem,Phone lags
touch,smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
budget,decent,Price,It's worth the price,It's not worth the price
built ,strong,Robust,Good body built quality,Body built not good
budget,Good,Price,It's worth the price,It's not worth the price
charging,frequent,lasts,Good battery Life,Poor battery life
heavy,hangs,hangs,,hangs
snapdeal,original product,Genuine,Perfect product delivered,Defective product delivered
fast,processor,Processor,Processor,Processor
online,Snapdeal,,,
budget,nice,Price,It's worth the price,It's not worth the price
picture,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
picture,flash,Flash,Flash performance is good,Poor flash quality
budget,lower,Low,It's worth the price,It's not worth the price
budget,within,Price,It's worth the price,It's not worth the price
budget,good,Price,It's worth the price,It's not worth the price
budget,Good,Price,It's worth the price,It's not worth the price
build,decent,Quality,Good body built quality,Body built not good
body,Bright,Bright,Good body built quality,Body built not good
internal,2GB,2GB,2GB,2GB
affordable,price,Price,It's worth the price,It's not worth the price
budget,within,Price,It's worth the price,It's not worth the price
budget,best,Price,It's worth the price,It's not worth the price
budget,low,Low,It's worth the price,It's not worth the price
sound,quality,Quality,Good sound quality,Poor sound quality
music,earphone,earphone,Music sound quality is awesome,Music sound quality is poor
light,Low,Low,Low light performance is cool,Low light image quality is poor
connectivity,good,good,Internet speed is good,Browsing is slow
cheap,good,good,It's worth the price,It's not worth the price
fast,downloading,downloading,downloading,downloading
fast,very,very,,
budget,price,Price,It's worth the price,It's not worth the price
cheap,very,very,It's worth the price,It's not worth the price
cheap,good,good,It's worth the price,It's not worth the price
performance,multitasking,multitasking,multitasking,multitasking
picture,5MP,5MP,Camera and picture quality is good,Camera and picture quality is poor
video,5MP,,Smooth and clear  video recording quality ,Video recording quality not good
storage,internal,internal,good internal memory,low internal memory
picture,clear,Clarity,Camera and picture quality is good,Camera and picture quality is poor
picture,bright,bright,Day light picture quality is superb,day light picture quality is poor
lag,sometime,little,No lagging problem,Phone lags
applications,lot,Lag,Apps run smoothly,Apps don't run smoothly and hangs
delivered,good,Quick,Quick Delivery,Delayed Delivery
connectivity,easy,Fast,Internet speed is good,Browsing is slow
charging,heat,heat,No heating issues,Battery gets overheated
Store,app,app,Loads of app in app store,Limited apps in app store
fast,service,service,,
clarity,outstanding,outstanding,Camera and picture quality is good,Camera and picture quality is poor
features,excellent,excellent,,
Processor,fast,fast,fast,fast
connectivity,issues,issues,No issues in browsing and internet connectivity,Browsing and connectivity problems
